dataset,school_name,level,ownership,zipcode,borough_or_city,category_raw,control_raw,lon,lat,source_note
schools_2020_points,Elm Tree Elementary School,elementary,public_nyc_doe,Q211,Corona,Elementary,,-73.863408,40.741139,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Emblaze Academy Charter School,elementary,public_nyc_doe,X606,Hunts Point,Elementary,,-73.88819,40.820102,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Fairmont Neighborhood School,elementary,public_nyc_doe,X314,Crotona Park East,Elementary,,-73.886995,40.834188,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Family Life Academy Charter School,elementary,public_nyc_doe,X705,Highbridge,Elementary,,-73.918665,40.840262,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Family Life Academy Charter School III,elementary,public_nyc_doe,X472,West Concourse,Elementary,,-73.929949,40.816245,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Fort Hill Collaborative Elementary School,elementary,public_nyc_doe,R010,West New Brighton-New Brighton-St. George,Elementary,,-74.079594,40.639638,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Global Community Charter School,elementary,public_nyc_doe,M085,Central Harlem North-Polo Grounds,Elementary,,-73.934951,40.81698,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Grant Avenue Elementary School,elementary,public_nyc_doe,X449,East Concourse-Concourse Village,Elementary,,-73.917705,40.828009,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Growing Up Green Charter School II,elementary,public_nyc_doe,Q372,Briarwood-Jamaica Hills,Elementary,,-73.807561,40.713084,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Hamilton Heights School,elementary,public_nyc_doe,M368,Hamilton Heights,Elementary,,-73.947599,40.826514,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Harlem Hebrew Language Charter School,elementary,public_nyc_doe,M186,Central Harlem South,Elementary,,-73.952751,40.804559,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Harlem Link Charter School,elementary,public_nyc_doe,M329,Central Harlem South,Elementary,,-73.950146,40.798461,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Harlem Village Academy West 2 Charter School,elementary,public_nyc_doe,M380,Central Harlem South,Elementary,,-73.945603,40.80669,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Hebrew Language Academy Charter School 2,elementary,public_nyc_doe,K895,Bensonhurst East,Elementary,,-73.986345,40.600808,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Heketi Community Charter School,elementary,public_nyc_doe,X256,Mott Haven-Port Morris,Elementary,,-73.909595,40.8091,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Helen M. Marshall School,elementary,public_nyc_doe,Q330,North Corona,Elementary,,-73.859202,40.757888,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Hellenic Classical Charter School - Staten Island,elementary,public_nyc_doe,R077,New Springville-Bloomfield-Travis,Elementary,,-74.161318,40.608079,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Hyde Leadership Charter School- Brooklyn,elementary,public_nyc_doe,K769,East New York (Pennsylvania Ave),Elementary,,-73.898249,40.667985,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Imagine Me Leadership Charter School,elementary,public_nyc_doe,K785,East New York,Elementary,,-73.883469,40.660077,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Ivy Hill Preparatory Charter School,elementary,public_nyc_doe,K927,Rugby-Remsen Village,Elementary,,-73.922733,40.643897,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Jamaica Children's School,elementary,public_nyc_doe,Q312,South Jamaica,Elementary,,-73.790975,40.693559,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,KIPP Elements Primary Charter School,elementary,public_nyc_doe,X616,Fordham South,Elementary,,-73.903764,40.857932,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,KIPP Freedom Charter School,elementary,public_nyc_doe,X598,Fordham South,Elementary,,-73.903764,40.857932,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Key Collegiate Charter School,elementary,public_nyc_doe,K912,Brownsville,Elementary,,-73.910292,40.665264,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,LEEP Dual Language Academy,elementary,public_nyc_doe,K930,Sunset Park East,Elementary,,-74.012089,40.642877,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,La Cima Charter School,elementary,public_nyc_doe,K649,Stuyvesant Heights,Elementary,,-73.932066,40.68797,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Learners and Leaders,elementary,public_nyc_doe,Q305,Ridgewood,Elementary,,-73.91499,40.706837,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Lefferts Gardens Ascend Charter School,elementary,public_nyc_doe,K933,East Flatbush-Farragut,Elementary,,-73.939706,40.652671,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Lighthouse Elementary School,elementary,public_nyc_doe,Q106,Hammels-Arverne-Edgemere,Elementary,,-73.766846,40.594738,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Linden Tree Elementary School,elementary,public_nyc_doe,X567,Parkchester,Elementary,,-73.853203,40.838759,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Lucero Elementary School,elementary,public_nyc_doe,X311,West Concourse,Elementary,,-73.915879,40.8404,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Luisa Pineiro Fuentes School of Science and Discov,elementary,public_nyc_doe,X307,Van Cortlandt Village,Elementary,,-73.901821,40.869142,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,"Magnet School of Math, Science and Design Technolo",elementary,public_nyc_doe,K010,Park Slope-Gowanus,Elementary,,-73.985946,40.660912,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Manhattan Charter School,elementary,public_nyc_doe,M320,Lower East Side,Elementary,,-73.984116,40.718121,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Manhattan Charter School II,elementary,public_nyc_doe,M080,Lower East Side,Elementary,,-73.986051,40.713362,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Merrick Academy - Queens Public Charter School,elementary,public_nyc_doe,Q704,Laurelton,Elementary,,-73.753009,40.676318,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Milton Fein School,elementary,public_nyc_doe,X007,Spuyten Duyvil-Kingsbridge,Elementary,,-73.905697,40.881562,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Mosaic Preparatory Academy,elementary,public_nyc_doe,M375,East Harlem South,Elementary,,-73.944546,40.796098,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Mount Eden Children's Academy,elementary,public_nyc_doe,X555,West Concourse,Elementary,,-73.916084,40.842503,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Muscota,elementary,public_nyc_doe,M314,Marble Hill-Inwood,Elementary,,-73.923818,40.866381,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Naples Street Elementary School,elementary,public_nyc_doe,R009,Grasmere-Arrochar-Ft. Wadsworth,Elementary,,-74.090245,40.60265,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Neighborhood Charter School: Bronx,elementary,public_nyc_doe,X623,Mott Haven-Port Morris,Elementary,,-73.909019,40.808963,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Neighborhood School,elementary,public_nyc_doe,M363,East Village,Elementary,,-73.986214,40.72444,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,New American Academy Charter School,elementary,public_nyc_doe,K736,Rugby-Remsen Village,Elementary,,-73.914282,40.651642,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,New Bridges Elementary,elementary,public_nyc_doe,K532,Crown Heights North,Elementary,,-73.934316,40.669557,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,New York City Academy for Discovery,elementary,public_nyc_doe,Q306,Woodhaven,Elementary,,-73.848577,40.691482,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,New York City Montessori Charter School,elementary,public_nyc_doe,X554,Mott Haven-Port Morris,Elementary,,-73.921888,40.808703,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,New York French American Charter School,elementary,public_nyc_doe,M483,Central Harlem South,Elementary,,-73.954228,40.807537,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Norma Adams Clemons Academy,elementary,public_nyc_doe,K006,Erasmus,Elementary,,-73.956279,40.648973,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Our World Neighborhood Charter School 2,elementary,public_nyc_doe,Q386,NULL,Elementary,,-73.856042,40.671281,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P. S. 62 - Chester Park School,elementary,public_nyc_doe,Q062,Richmond Hill,Elementary,,-73.835567,40.688359,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 001 Alfred E. Smith,elementary,public_nyc_doe,M001,Chinatown,Elementary,,-73.997478,40.71255,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 001 Courtlandt School,elementary,public_nyc_doe,X001,Melrose South-Mott Haven North,Elementary,,-73.919634,40.819331,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 001 The Bergen,elementary,public_nyc_doe,K001,Sunset Park West,Elementary,,-74.01142,40.648959,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 001 Tottenville,elementary,public_nyc_doe,R001,Charleston-Richmond Valley-Tottenville,Elementary,,-74.24395,40.508638,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 002 Alfred Zimberg,elementary,public_nyc_doe,Q002,Steinway,Elementary,,-73.894108,40.769798,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 002 Meyer London,elementary,public_nyc_doe,M002,Lower East Side,Elementary,,-73.991523,40.712907,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 003 Charrette School,elementary,public_nyc_doe,M003,West Village,Elementary,,-74.005949,40.732603,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 003 The Bedford Village,elementary,public_nyc_doe,K003,Clinton Hill,Elementary,,-73.955219,40.682311,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 003 The Margaret Gioiosa School,elementary,public_nyc_doe,R003,Annadale-Huguenot-Prince's Bay-Eltingville,Elementary,,-74.21185,40.520812,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 004 Duke Ellington,elementary,public_nyc_doe,M004,Washington Heights South,Elementary,,-73.941594,40.834877,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 004 Maurice Wollin,elementary,public_nyc_doe,R004,Arden Heights,Elementary,,-74.195281,40.552059,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 005 Dr. Ronald McNair,elementary,public_nyc_doe,K005,Stuyvesant Heights,Elementary,,-73.92197,40.685241,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 005 Ellen Lurie,elementary,public_nyc_doe,M005,Marble Hill-Inwood,Elementary,,-73.922277,40.857633,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 005 Huguenot,elementary,public_nyc_doe,R005,Annadale-Huguenot-Prince's Bay-Eltingville,Elementary,,-74.187276,40.529389,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 006 Lillie D. Blake,elementary,public_nyc_doe,M006,Upper East Side-Carnegie Hill,Elementary,,-73.960427,40.777737,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 006 West Farms,elementary,public_nyc_doe,X006,East Tremont,Elementary,,-73.882531,40.840445,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 007 Abraham Lincoln,elementary,public_nyc_doe,K007,Cypress Hills-City Line,Elementary,,-73.872983,40.689213,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 007 Louis F. Simeone,elementary,public_nyc_doe,Q007,Elmhurst-Maspeth,Elementary,,-73.882446,40.739644,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 008 Isaac Varian,elementary,public_nyc_doe,X008,Bedford Park-Fordham North,Elementary,,-73.883339,40.872259,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 008 Luis Belliard,elementary,public_nyc_doe,M008,Washington Heights South,Elementary,,-73.936614,40.839235,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 009 Sarah Anderson,elementary,public_nyc_doe,M009,Upper West Side,Elementary,,-73.974256,40.785234,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 009 Teunis G. Bergen,elementary,public_nyc_doe,K009,Prospect Heights,Elementary,,-73.966333,40.678554,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 011 Highbridge,elementary,public_nyc_doe,X011,Highbridge,Elementary,,-73.92589,40.839693,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 011 Kathryn Phelan,elementary,public_nyc_doe,Q011,Woodside,Elementary,,-73.909032,40.746127,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 011 Purvis J. Behan,elementary,public_nyc_doe,K011,Clinton Hill,Elementary,,-73.96589,40.685896,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 011 William T. Harris,elementary,public_nyc_doe,M011,Hudson Yards-Chelsea-Flatiron-Union Square,Elementary,,-74.000743,40.744186,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 012 James B. Colgate,elementary,public_nyc_doe,Q012,Elmhurst-Maspeth,Elementary,,-73.893466,40.742284,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 013 Clement C. Moore,elementary,public_nyc_doe,Q013,Elmhurst,Elementary,,-73.867662,40.737441,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 013 M. L. Lindemeyer,elementary,public_nyc_doe,R013,Stapleton-Rosebank,Elementary,,-74.068963,40.613322,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 013 Roberto Clemente,elementary,public_nyc_doe,K013,East New York (Pennsylvania Ave),Elementary,,-73.893328,40.664067,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 014 Fairview,elementary,public_nyc_doe,Q014,Corona,Elementary,,-73.85457,40.74102,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 015 Jackie Robinson,elementary,public_nyc_doe,Q015,St. Albans,Elementary,,-73.756546,40.68605,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 015 Patrick F. Daly,elementary,public_nyc_doe,K015,Carroll Gardens-Columbia Street-Red Hook,Elementary,,-74.011864,40.677085,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 015 Roberto Clemente,elementary,public_nyc_doe,M015,Lower East Side,Elementary,,-73.978747,40.722075,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 016 John J. Driscoll,elementary,public_nyc_doe,R016,West New Brighton-New Brighton-St. George,Elementary,,-74.079594,40.639638,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 016 Leonard Dunkly,elementary,public_nyc_doe,K016,Williamsburg,Elementary,,-73.962049,40.706069,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 016 Wakefield,elementary,public_nyc_doe,X016,Woodlawn-Wakefield,Elementary,,-73.854231,40.902311,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 017 Henry D. Woodworth,elementary,public_nyc_doe,K017,North Side-South Side,Elementary,,-73.9573,40.715268,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 017 Henry David Thoreau,elementary,public_nyc_doe,Q017,Old Astoria,Elementary,,-73.922544,40.768034,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 018 Edward Bush,elementary,public_nyc_doe,K018,East Williamsburg,Elementary,,-73.946695,40.71088,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 018 John G. Whittier,elementary,public_nyc_doe,R018,New Brighton-Silver Lake,Elementary,,-74.116817,40.636521,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 018 John Peter Zenger,elementary,public_nyc_doe,X018,Mott Haven-Port Morris,Elementary,,-73.922697,40.816369,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,P.S. 018 Winchester,elementary,public_nyc_doe,Q018,Bellerose,Elementary,,-73.73229,40.731853,NYC Open Data School Point Locations / NYC DOE Public School Location Information
